PERMNO,date,TICKER,COMNAM,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,OPENPRC,vwretd,vwretx,ewretd,ewretx,sprtrn
18163,2020-05-28,PG,PROCTER & GAMBLE CO,114.89950,116.99000,116.06000,6593613,0.019053,116.06000,116.09000,115.53000,-0.003516,-0.003637,-0.009559,-0.009664,-0.002108
18163,2020-05-29,PG,PROCTER & GAMBLE CO,114.62000,116.72000,115.92000,7987916,-0.001206,115.76000,115.80000,116.13000,0.004678,0.004546,-0.001383,-0.001494,0.004812
18163,2020-06-01,PG,PROCTER & GAMBLE CO,115.26000,117.50000,117.25000,5106119,0.011473,117.24000,117.26000,116.00000,0.006645,0.006569,0.012506,0.012385,0.003751
18163,2020-06-02,PG,PROCTER & GAMBLE CO,116.81500,118.14000,118.06000,6327940,0.006908,118.03000,118.06000,117.07000,0.008413,0.008391,0.011030,0.011004,0.008211
18163,2020-06-03,PG,PROCTER & GAMBLE CO,117.95000,119.19000,118.53000,6170999,0.003981,118.53000,118.56000,118.10000,0.014862,0.014781,0.022584,0.022547,0.013649
18163,2020-06-04,PG,PROCTER & GAMBLE CO,115.57000,118.82500,116.05000,6895854,-0.020923,116.04000,116.05000,118.00000,-0.003038,-0.003198,0.008012,0.007949,-0.003369
18163,2020-06-05,PG,PROCTER & GAMBLE CO,116.05000,118.83000,118.33000,7337829,0.019647,118.27000,118.28000,116.25000,0.025002,0.024987,0.032168,0.032153,0.026212
18163,2020-06-08,PG,PROCTER & GAMBLE CO,116.84000,119.12000,119.05000,6926693,0.006085,119.07000,119.08000,117.44000,0.014235,0.014211,0.032393,0.032376,0.012042
18163,2020-06-09,PG,PROCTER & GAMBLE CO,118.15000,119.76000,118.34000,5563215,-0.005964,118.36000,118.39000,119.40000,-0.009508,-0.009566,-0.010359,-0.010387,-0.007799
18163,2020-06-10,PG,PROCTER & GAMBLE CO,118.11000,119.89000,119.23000,6678195,0.007521,119.17000,119.18000,119.00000,-0.006659,-0.006675,-0.016255,-0.016340,-0.005313
18163,2020-06-11,PG,PROCTER & GAMBLE CO,116.00000,119.57000,116.26000,8937510,-0.024910,116.27000,116.29000,118.81000,-0.058203,-0.058298,-0.063587,-0.063694,-0.058944
18163,2020-06-12,PG,PROCTER & GAMBLE CO,115.26000,118.05000,115.62000,7998614,-0.005505,115.62000,115.63000,116.59000,0.014074,0.013807,0.022566,0.022253,0.013061
18163,2020-06-15,PG,PROCTER & GAMBLE CO,113.76000,117.28000,116.69000,8787028,0.009254,116.70000,116.76000,114.55000,0.010691,0.010514,0.014460,0.014142,0.008312
18163,2020-06-16,PG,PROCTER & GAMBLE CO,116.93000,118.97000,118.13000,8167289,0.012340,118.17000,118.20000,118.53000,0.017647,0.017622,0.018722,0.018654,0.018962
18163,2020-06-17,PG,PROCTER & GAMBLE CO,117.44000,119.11000,117.93000,6321110,-0.001693,117.91000,117.93000,118.39000,-0.004129,-0.004139,-0.008035,-0.008080,-0.003600
18163,2020-06-18,PG,PROCTER & GAMBLE CO,117.37000,119.96000,119.28000,6274391,0.011447,119.24000,119.28000,117.46000,0.001198,0.001168,0.000431,0.000344,0.000594
18163,2020-06-19,PG,PROCTER & GAMBLE CO,118.83000,121.82000,118.92000,17489809,-0.003018,118.86000,118.88000,120.49000,-0.004599,-0.004768,-0.002264,-0.002361,-0.005649
18163,2020-06-22,PG,PROCTER & GAMBLE CO,117.34000,119.08000,117.75000,5695640,-0.009839,117.67000,117.68000,118.78000,0.006682,0.006590,0.003837,0.003538,0.006495
18163,2020-06-23,PG,PROCTER & GAMBLE CO,117.65000,119.19000,117.73000,5340538,-0.000170,117.72000,117.75000,118.67000,0.003905,0.003895,0.003704,0.003608,0.004307
18163,2020-06-24,PG,PROCTER & GAMBLE CO,116.28000,117.96000,116.42000,6547849,-0.011127,116.46000,116.47000,117.22000,-0.025737,-0.025761,-0.025694,-0.025756,-0.025855
18163,2020-06-25,PG,PROCTER & GAMBLE CO,116.02500,118.03000,117.89000,5489336,0.012627,117.84000,117.85000,116.99000,0.011260,0.011158,0.010545,0.010364,0.010959
18163,2020-06-26,PG,PROCTER & GAMBLE CO,115.04000,118.47000,115.23000,23201706,-0.022563,115.23000,115.25000,117.59000,-0.022878,-0.022902,-0.020526,-0.020588,-0.024227
18163,2020-06-29,PG,PROCTER & GAMBLE CO,116.35000,118.05000,117.66000,6866923,0.021088,117.64000,117.66000,116.51000,0.014497,0.014286,0.016462,0.016200,0.014686
18163,2020-06-30,PG,PROCTER & GAMBLE CO,117.80000,119.99000,119.57000,7818122,0.016233,119.46000,119.49000,117.97000,0.014671,0.014611,0.009754,0.009726,0.015410
18163,2020-07-01,PG,PROCTER & GAMBLE CO,118.90000,120.39000,119.98000,6501237,0.003429,119.98000,120.01000,119.65000,0.004033,0.003959,-0.002446,-0.002601,0.005022
18163,2020-07-02,PG,PROCTER & GAMBLE CO,120.53000,122.57000,120.88000,6150890,0.007501,120.89000,120.92000,121.00000,0.005020,0.004875,0.004246,0.004193,0.004541
18163,2020-07-06,PG,PROCTER & GAMBLE CO,120.88000,122.41000,121.63000,6023276,0.006205,121.65000,121.67000,121.77000,0.014885,0.014858,0.012130,0.012103,0.015882
