PERMNO,date,TICKER,COMNAM,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,OPENPRC,vwretd,vwretx,ewretd,ewretx,sprtn
21936,2022/5/25,PFE,PFIZER INC,53.045,54.05,53.71,24003920,0.005617,53.73,53.76,53.2,0.011199,0.011184,0.013029,0.013014,0.009451
21936,2022/5/26,PFE,PFIZER INC,53.88,54.92,53.99,23516309,0.005213,54,54.01,54.06,0.019776,0.019729,0.017453,0.017397,0.019883
21936,2022/5/27,PFE,PFIZER INC,53.515,54.405,53.91,21407507,-0.001482,53.91,53.92,53.92,0.024482,0.024332,0.020715,0.020633,0.024742
21936,2022/5/31,PFE,PFIZER INC,51.94,53.495,53.04,66058201,-0.016138,53.1,53.12,53.32,-0.006957,-0.00705,-0.004159,-0.004236,-0.006274
21936,2022/6/1,PFE,PFIZER INC,51.835,53.28,52.37,17430568,-0.012632,52.37,52.38,53.25,-0.006968,-0.007092,-0.007004,-0.007122,-0.007483
21936,2022/6/2,PFE,PFIZER INC,51.0415,52.74,52.68,21903359,0.005919,52.69,52.7,52.37,0.020266,0.020123,0.018635,0.018575,0.018431
21936,2022/6/3,PFE,PFIZER INC,52.46,53.53,53.2,18124958,0.009871,53.2,53.21,52.46,-0.01536,-0.015442,-0.006476,-0.006519,-0.016347
21936,2022/6/6,PFE,PFIZER INC,53,53.715,53.26,16544398,0.001128,53.22,53.23,53.19,0.002954,0.002947,-0.000232,-0.000244,0.003137
21936,2022/6/7,PFE,PFIZER INC,53.01,53.97,53.96,15091194,0.013143,53.95,53.96,53.28,0.009806,0.009779,0.010778,0.010758,0.009523
21936,2022/6/8,PFE,PFIZER INC,53.41,54.56,53.47,12789802,-0.009081,53.46,53.47,54.06,-0.010409,-0.010446,-0.002544,-0.002573,-0.010794
21936,2022/6/9,PFE,PFIZER INC,51.7,53.65,51.78,17578108,-0.031607,51.77,51.78,53.265,-0.02358,-0.023822,-0.018039,-0.018311,-0.023799
21936,2022/6/10,PFE,PFIZER INC,49.95,51.37,49.97,23832187,-0.034956,49.98,49.99,51.31,-0.028242,-0.02827,-0.022558,-0.022657,-0.02911
21936,2022/6/13,PFE,PFIZER INC,47.71,49.28,47.91,26988989,-0.041225,47.92,47.93,48.82,-0.040683,-0.040691,-0.043392,-0.043413,-0.038768
21936,2022/6/14,PFE,PFIZER INC,47.22,48.465,47.92,23290327,0.000209,47.96,47.98,47.75,-0.003455,-0.003757,-0.004295,-0.004543,-0.003774
21936,2022/6/15,PFE,PFIZER INC,47.18,48.98,48.51,25747996,0.012312,48.47,48.48,47.88,0.014988,0.014946,0.014309,0.01424,0.014593
21936,2022/6/16,PFE,PFIZER INC,47.055,48,47.48,20424508,-0.021233,47.52,47.53,47.69,-0.034246,-0.03434,-0.030492,-0.030618,-0.032512
21936,2022/6/17,PFE,PFIZER INC,46.28,48.03,46.53,45047693,-0.020008,46.5,46.51,47.38,0.004,0.003939,0.009816,0.009687,0.002201
21936,2022/6/21,PFE,PFIZER INC,46.954,48.44,48.11,19622147,0.033957,48.11,48.12,47.32,0.022508,0.022318,0.01447,0.014232,0.024477
21936,2022/6/22,PFE,PFIZER INC,47.7708,49.579,49.07,20384884,0.019954,49.05,49.06,48.03,-0.002209,-0.002256,-0.002164,-0.002397,-0.001302
21936,2022/6/23,PFE,PFIZER INC,48.98,50.17,50.09,20061654,0.020787,50.08,50.09,49.23,0.009173,0.009074,0.010361,0.010309,0.009532
21936,2022/6/24,PFE,PFIZER INC,50.3,51.64,51.59,24343179,0.029946,51.6,51.62,50.65,0.029803,0.029751,0.018007,0.017718,0.030563
21936,2022/6/27,PFE,PFIZER INC,51.26,52.225,51.88,16154272,0.005621,51.88,51.9,51.48,-0.002129,-0.002163,0.001884,0.001822,-0.002973
21936,2022/6/28,PFE,PFIZER INC,50.41,51.97,50.66,16458770,-0.023516,50.66,50.67,51.83,-0.018708,-0.01871,-0.013435,-0.013472,-0.020143
21936,2022/6/29,PFE,PFIZER INC,50.66,51.44,50.94,13925665,0.005527,50.93,50.94,50.73,-0.002681,-0.002871,-0.008789,-0.009096,-0.000712
21936,2022/6/30,PFE,PFIZER INC,51.085,52.885,52.43,33495729,0.02925,52.5,52.51,51.69,-0.008945,-0.009068,-0.006289,-0.006331,-0.008759
21936,2022/7/1,PFE,PFIZER INC,51.25,52.37,52.31,16143272,-0.002289,52.31,52.32,52.04,0.011007,0.010912,0.007705,0.007554,0.010554
21936,2022/7/5,PFE,PFIZER INC,50.4,51.89,51.64,18407846,-0.012808,51.66,51.67,51.75,0.002031,0.001907,0.004354,0.004306,0.001584
21936,2022/7/6,PFE,PFIZER INC,51.58,52.96,52.75,21305527,0.021495,52.75,52.76,51.64,0.000678,0.000663,-0.004074,-0.004098,0.003573
21936,2022/7/7,PFE,PFIZER INC,52.79,53.54,53.42,17847629,0.012701,53.39,53.4,52.95,0.016903,0.016796,0.021121,0.021088,0.014965
